Model,Date
iPhone (original),2007-01-09
iPhone 3G,2008-06-09
iPhone 3GS,2009-06-08
iPhone 4,2010-06-07
iPhone 4s,2011-10-04
iPhone 5,2012-09-12
iPhone 5s,2013-09-10
iPhone 5c,2013-09-10
iPhone 6,2014-09-09
iPhone 6 Plus,2014-09-09
iPhone 6s,2015-09-09
iPhone 6s Plus,2015-09-09
iPhone SE (1ª generación),2016-03-31
iPhone 7,2016-09-07
iPhone 7 Plus,2016-09-07
iPhone 8,2017-09-12
iPhone 8 Plus,2017-09-12
iPhone X,2017-09-12
iPhone XS,2018-09-12
iPhone XS Max,2018-09-12
iPhone XR,2018-09-12
iPhone 11,2019-09-10
iPhone 11 Pro,2019-09-10
iPhone 11 Pro Max,2019-09-10
iPhone SE (2ª generación),2020-04-15
