,Date,Open,Close,High,Low,Volume
0,2018-09-12,224.94,221.07,225.0,219.84,49278740
1,2018-09-13,223.52,226.41,228.35,222.57,41706377
2,2018-09-14,225.75,223.84,226.84,222.52,31999289
3,2018-09-17,222.15,217.88,222.95,217.27,37195133
4,2018-09-18,217.79,218.24,221.85,217.12,31571712
5,2018-09-19,218.5,218.37,219.62,215.3,27123833
6,2018-09-20,220.24,220.03,222.28,219.15,26608794
7,2018-09-21,220.78,217.66,221.36,217.29,96246748
8,2018-09-24,216.82,220.79,221.26,216.63,27693358
9,2018-09-25,219.75,222.19,222.82,219.7,24554379
10,2018-09-26,221.0,220.42,223.75,219.76,23984706
11,2018-09-27,223.82,224.95,226.44,223.54,30181227
12,2018-09-28,224.79,225.74,225.84,224.02,22929364
13,2018-10-01,227.95,227.26,229.42,226.35,23600802
14,2018-10-02,227.25,229.28,230.0,226.63,24788170
15,2018-10-03,230.05,232.07,233.47,229.78,28654799
16,2018-10-04,230.78,227.99,232.35,226.73,32042000
17,2018-10-05,227.96,224.29,228.41,220.58,33580463
18,2018-10-08,222.21,223.77,224.8,220.2,29663923
19,2018-10-09,223.64,226.87,227.27,222.25,26891029
20,2018-10-10,225.46,216.36,226.35,216.05,41990554
21,2018-10-11,214.52,214.45,219.5,212.32,53124392
22,2018-10-12,220.42,222.11,222.88,216.84,40337851
23,2018-10-15,221.16,217.36,221.83,217.27,30791007
24,2018-10-16,218.93,222.15,222.99,216.76,29183963
25,2018-10-17,222.3,221.19,222.64,219.34,22885397
26,2018-10-18,217.86,216.02,219.74,213.0,32581315
27,2018-10-19,218.06,219.31,221.26,217.43,33078726
28,2018-10-22,219.79,220.65,223.36,218.94,28792082
29,2018-10-23,215.83,222.73,223.25,214.7,38767846
30,2018-10-24,222.6,215.09,224.23,214.54,40925163
31,2018-10-25,217.71,219.8,221.38,216.75,29855768
32,2018-10-26,215.9,216.3,220.19,212.67,47258375
33,2018-10-29,219.19,212.24,219.69,206.09,45935520
34,2018-10-30,211.15,213.3,215.18,209.27,36659990
35,2018-10-31,216.88,218.86,220.45,216.62,38358933
36,2018-11-01,219.05,222.22,222.36,216.81,58323180
37,2018-11-02,209.55,207.48,213.65,205.43,91328654
38,2018-11-05,204.3,201.59,204.39,198.17,66163669
39,2018-11-06,201.92,203.77,204.72,201.69,31882881
40,2018-11-07,205.97,209.95,210.06,204.13,33424434
41,2018-11-08,209.98,208.49,210.12,206.75,25362636
42,2018-11-09,205.55,204.47,206.01,202.25,34365750
43,2018-11-12,199.0,194.17,199.85,193.79,51135518
44,2018-11-13,191.63,192.23,197.18,191.45,46882936
45,2018-11-14,193.9,186.8,194.48,185.93,60800957
46,2018-11-15,188.39,191.41,191.97,186.9,46478801
47,2018-11-16,190.5,193.53,194.97,189.46,36928253
48,2018-11-19,190.0,185.86,190.7,184.99,41920872
49,2018-11-20,178.37,176.98,181.47,175.51,67825247
50,2018-11-21,179.73,176.78,180.27,176.55,31124210
51,2018-11-23,174.94,172.29,176.6,172.1,23623972
52,2018-11-26,174.24,174.62,174.95,170.26,44998520
53,2018-11-27,171.51,174.24,174.77,170.88,41387377
54,2018-11-28,176.73,180.94,181.29,174.93,46062539
55,2018-11-29,182.66,179.55,182.8,177.7,41769992
56,2018-11-30,180.29,178.58,180.33,177.03,39531549
57,2018-12-03,184.46,184.82,184.94,181.21,40798002
58,2018-12-04,180.95,176.69,182.39,176.27,41344282
59,2018-12-06,171.76,174.72,174.78,170.42,43098410
60,2018-12-07,173.49,168.49,174.49,168.3,42281631
61,2018-12-10,165.0,169.6,170.09,163.33,62025994
62,2018-12-11,171.66,168.63,171.79,167.0,47281665
63,2018-12-12,170.4,169.1,171.92,169.02,35627674
64,2018-12-13,170.49,170.95,172.57,169.55,31897827
65,2018-12-14,169.0,165.48,169.08,165.28,40703710
66,2018-12-17,165.45,163.94,168.35,162.73,44287922
