,Date,Open_Aapl,Close_Aapl,High_Aapl,Low_Aapl,Volume_Aapl,Date,Open_Nsdq,High_Nsdq,Low_Nsdq,Close_Nsdq,Volume_Nsdq
0,2010-03-01,29.3928,29.8557,29.9286,29.35,137312041,2010-03-01,18.700000762939453,18.809999465942383,18.56999969482422,18.799999237060547,1945500
1,2010-03-02,29.99,29.8357,30.1186,29.6771,141486282,2010-03-02,18.959999084472656,19.440000534057617,18.950000762939453,19.25,3351700
2,2010-03-03,29.8486,29.9043,29.9814,29.7057,92846488,2010-03-03,19.350000381469727,19.56999969482422,19.260000228881836,19.440000534057617,2537400
3,2010-03-04,29.8971,30.1014,30.1314,29.8043,89591907,2010-03-04,19.309999465942383,19.8700008392334,19.309999465942383,19.75,3462000
4,2010-03-05,30.7057,31.2786,31.3857,30.6614,224647427,2010-03-05,19.690000534057617,20.110000610351562,19.690000534057617,20.030000686645508,3479400
5,2010-03-08,31.43,31.2971,31.4414,31.1786,107326832,2010-03-08,19.90999984741211,20.09000015258789,19.75,20.06999969482422,2695900
6,2010-03-09,31.1871,31.86,32.1428,31.1271,229908139,2010-03-09,19.93000030517578,20.239999771118164,19.899999618530273,20.149999618530273,2598100
7,2010-03-10,31.9757,32.12,32.2114,31.8857,148907755,2010-03-10,20.139999389648438,20.25,20.030000686645508,20.219999313354492,3057500
8,2010-03-11,31.9871,32.2143,32.2143,31.9028,101209110,2010-03-11,20.010000228881836,20.270000457763672,20.010000228881836,20.239999771118164,1694800
9,2010-03-12,32.4814,32.3714,32.5328,32.25,103841951,2010-03-12,20.280000686645508,20.420000076293945,20.239999771118164,20.299999237060547,1339200
10,2010-03-15,32.1971,31.9771,32.2143,31.4643,123005437,2010-03-15,20.299999237060547,20.309999465942383,19.84000015258789,20.280000686645508,2897700
11,2010-03-16,32.0257,32.0643,32.14,31.7871,111581993,2010-03-16,20.270000457763672,20.350000381469727,20.139999389648438,20.25,2897900
12,2010-03-17,32.1286,32.0171,32.35,31.8957,112501374,2010-03-17,20.350000381469727,20.68000030517578,20.209999084472656,20.510000228881836,2728000
